"motusRecvID","recvProjectID","receiverID","receiverType","recvDeployID","deploymentStatus","deploymentName","siteName","dtStart","dtEnd","tsStart","tsEnd","latitude","longitude","elevation","isMobile","macAddress","locationPrecision"
"2078","35","SG-7100BBBK0179","","4110","terminated","PARC SGL203","PARC SGL203","2017-06-26 00:00:00 +00:00","2017-06-26 00:01:00 +00:00","1498435200","1498435259.9999998","40.63680000","-80.12560000","372.0","false","0","Exact"
"2078","35","SG-7100BBBK0179","","4097","terminated","PARC SGL203","PARC SGL203","2017-06-23 00:00:00 +00:00","2017-06-23 00:01:00 +00:00","1498176000","1498176059.9999998","40.63680000","-80.12560000","372.0","false","0","Exact"
"2078","35","SG-7100BBBK0179","","3995","terminated","PARC SGL203","PARC SGL203","2017-05-04 00:00:00 +00:00","2017-06-21 16:00:00 +00:00","1493856000","1498060800","40.63680000","-80.12560000","372.0","false","0","Exact"
"2079","35","SG-1215BBBK1794","","3996","terminated","PARC Deer Lakes","PARC Deer Lakes","2017-04-27 00:00:00 +00:00","2017-06-22 16:00:00 +00:00","1493251200","1498147200","40.62700000","-79.80890000","387.0","false","0","Exact"
"2079","35","SG-1215BBBK1794","","4201","active","PARC Brownfield","PARC Brownfield","2017-08-11 16:00:00 +00:00","","1502467200","","39.81140000","-79.69100000","840.0","false","0","Exact"
"2080","35","SG-1215BBBK1803","","4252","active","PARC Armour","PARC Armour","2017-08-22 16:00:00 +00:00","","1503417600","","40.17900000","-79.27330000","508.8","false","0","Exact"
"2080","35","SG-1215BBBK1803","","3997","terminated","PARC Armour","PARC Armour","2017-04-03 20:00:00 +00:00","2017-06-15 16:00:00 +00:00","1491249600","1497542400","40.17900000","-79.27330000","508.8","false","0","Exact"
"2081","35","SG-1315BBBK0094","","3968","terminated","PARC SGL276","PARC SGL276","2017-04-18 00:00:00 +00:00","2017-09-06 12:00:00 +00:00","1492473600","1504699200","40.45640000","-79.14340000","601.0","false","0","Exact"
"2081","35","SG-1315BBBK0094","","4250","active","PARC Banding","PARC Banding","2017-09-06 12:01:00 +00:00","","1504699259.9999998","","40.16360000","-79.26750000","398.0","false","0","Exact"
"2082","35","SG-1315BBBK0119","","4199","active","PARC CMNH","PARC CMNH","2017-08-14 15:00:00 +00:00","","1502722800","","40.44290000","-79.94980000","270.5","false","0","Exact"
"2082","35","SG-1315BBBK0119","","3969","terminated","PARC Wildlife Center","PARC Wildlife Center","2017-04-21 00:00:00 +00:00","2017-06-13 12:00:00 +00:00","1492732800","1497355200","40.49010000","-79.83380000","323.0","false","0","Exact"
"1860","36","SG-3214BBBK6514","SENSORGNOME","3452","terminated","UOttawa BCCH mobile","UOttawa BCCH mobile","2016-09-08 00:00:00 +00:00","2016-11-04 00:00:00 +00:00","1473292800","1478217600","45.30625500","-75.81656400","","true","0","Exact"
